Symbol,Date,Sentiment
ABNB,Mar-09-24,-0.9490363001823425
ABNB,Mar-08-24,0.0
ABNB,Mar-07-24,0.4973679482936859
ABNB,Mar-06-24,0.3333283265431722
ABNB,Mar-05-24,0.3332395752271016
ABNB,Mar-04-24,0.24999991059303284
ABNB,Mar-01-24,1.0
ABNB,Feb-29-24,0.3333333333333333
ABNB,Feb-28-24,0.0
ABNB,Feb-27-24,0.18686062097549438
ABNB,Feb-26-24,0.2486545369029045
ABNB,Feb-25-24,-0.4999239444732666
ABNB,Feb-24-24,0.6503360718488693
ABNB,Feb-23-24,-0.39277241230010984
ABNB,Feb-22-24,0.25
ABT,Apr-05-24,0.9999986290931702
ABT,Apr-03-24,0.0
ABT,Apr-02-24,0.9616539080937704
ABT,Apr-01-24,-0.012981295585632324
ABT,Mar-31-24,0.0
ABT,Mar-27-24,0.49066081643104553
ABT,Mar-26-24,0.14285646166120256
ABT,Mar-25-24,0.0
ABT,Mar-24-24,0.0
ABT,Mar-22-24,0.0
ABT,Mar-21-24,0.6960929036140442
ABT,Mar-20-24,0.3333076635996501
ABT,Mar-19-24,0.5996504783630371
ABT,Mar-18-24,0.9999998807907104
ABT,Mar-17-24,0.0
ABT,Mar-15-24,0.16550391912460327
ABT,Mar-14-24,0.0
ABT,Mar-12-24,0.33190715312957764
ABT,Mar-11-24,0.0
ABT,Mar-07-24,0.4999932646751404
ABT,Mar-06-24,0.4285713774817331
ABT,Mar-05-24,-0.9930189251899719
ABT,Mar-04-24,0.0
ABT,Mar-03-24,-0.9913370609283447
ABT,Feb-28-24,0.01581895351409912
ABT,Feb-27-24,0.9911652207374573
ABT,Feb-26-24,0.10379592577616374
ABT,Feb-24-24,0.0
ABT,Feb-23-24,0.9999983310699463
ABT,Feb-22-24,0.0
ABT,Feb-21-24,0.6633787353833517
ABT,Feb-20-24,0.0
ABT,Feb-18-24,0.9999346733093262
ABT,Feb-16-24,0.9704664349555969
ABT,Feb-14-24,0.4999886751174927
ABT,Feb-13-24,0.5762840708096822
ABT,Feb-11-24,0.5
ABT,Feb-10-24,0.0
ABT,Feb-09-24,0.0
ABT,Feb-08-24,0.9999949932098389
ABT,Feb-07-24,0.0
ABT,Feb-06-24,0.0
ABT,Feb-05-24,0.0
ABT,Feb-04-24,0.9999170303344727
ACGL,Apr-05-24,0.13778855800628662
ACGL,Apr-04-24,0.0
ACGL,Mar-28-24,0.0
ACGL,Mar-27-24,0.0
ACGL,Mar-24-24,0.0
ACGL,Mar-21-24,1.0
ACGL,Mar-20-24,0.9995110034942627
ACGL,Mar-15-24,0.9999876022338867
ACGL,Mar-14-24,5.4836273193359375e-05
ACGL,Mar-13-24,1.0
ACGL,Mar-08-24,0.0
ACGL,Mar-01-24,0.9758648872375488
ACGL,Feb-24-24,0.0
ACGL,Feb-21-24,0.9972843527793884
ACGL,Feb-16-24,0.0
ACGL,Feb-15-24,1.0
ACGL,Feb-14-24,0.39999995231628416
ACGL,Feb-09-24,0.49998825788497925
ACGL,Feb-07-24,1.0
ACGL,Feb-01-24,0.0
ACGL,Jan-30-24,1.0
ACGL,Jan-29-24,1.0
ACGL,Jan-25-24,-0.9309391379356384
ACGL,Jan-17-24,0.0
ACGL,Jan-16-24,0.4999997615814209
ACGL,Jan-13-24,0.0
ACGL,Jan-09-24,0.18859209616978964
ACGL,Jan-04-24,0.4999926686286926
ACGL,Dec-26-23,0.0
ACGL,Dec-18-23,1.0
ACGL,Dec-15-23,0.46389466524124146
ACGL,Dec-13-23,0.4999997615814209
ACGL,Dec-11-23,0.9926840960979462
ACGL,Dec-09-23,-0.9523267149925232
ACGL,Dec-08-23,0.9997417330741882
ACGL,Nov-29-23,-0.9378156363964081
ACGL,Nov-27-23,0.9999926090240479
ACGL,Nov-24-23,0.7774261832237244
ACGL,Nov-22-23,0.9999972581863403
ACGL,Nov-21-23,0.0
ACGL,Nov-16-23,1.0
ACGL,Nov-13-23,0.0
ACGL,Nov-11-23,1.0
ACGL,Nov-10-23,0.0
ACGL,Nov-09-23,0.9999862909317017
ACGL,Nov-08-23,0.0
ACGL,Nov-07-23,0.9922647476196289
ACGL,Nov-02-23,0.5
ACGL,Nov-01-23,0.0
ACGL,Oct-31-23,1.0
ACGL,Oct-30-23,0.226546049118042
ACGL,Oct-27-23,0.9999998807907104
ACGL,Oct-26-23,0.05607828497886658
ACGL,Oct-25-23,0.49999988079071045
ACGL,Oct-23-23,0.9990187585353851
ACGL,Oct-20-23,0.7355026006698608
ACGL,Oct-17-23,0.5
ACGL,Oct-16-23,0.0
ACGL,Oct-15-23,0.999998927116394
ACGL,Oct-14-23,0.8833255767822266
ACGL,Oct-13-23,0.9997051358222961
ACGL,Oct-12-23,0.0
ACGL,Oct-11-23,0.9999995231628418
ACGL,Oct-10-23,0.9638946652412415
ACGL,Oct-09-23,0.9999778270721436
ACGL,Oct-07-23,0.9998455047607422
ACGL,Oct-06-23,0.0
ACGL,Oct-04-23,0.113671213388443
ACGL,Oct-02-23,0.0
ACN,Apr-04-24,0.0
ACN,Apr-03-24,0.0
ACN,Apr-02-24,0.9979243278503418
ACN,Mar-31-24,0.9999085664749146
ACN,Mar-29-24,0.0
ACN,Mar-28-24,0.0
ACN,Mar-27-24,0.3333332935969035
ACN,Mar-26-24,0.0
ACN,Mar-25-24,0.24993251264095306
ACN,Mar-24-24,0.0
ACN,Mar-22-24,-0.3333326578140259
ACN,Mar-21-24,0.0235089510679245
ACN,Mar-20-24,0.6140045722325643
ACN,Mar-19-24,0.25
ACN,Mar-18-24,0.17479239404201508
ACN,Mar-17-24,0.49915462732315063
ACN,Mar-14-24,0.0
ACN,Mar-13-24,-0.9987244009971619
ACN,Mar-11-24,-0.4512646794319153
ACN,Mar-09-24,0.999991774559021
ACN,Mar-08-24,0.0
ACN,Mar-07-24,0.49212920665740967
ACN,Mar-06-24,0.4974815845489502
ACN,Mar-05-24,0.16666616996129355
ACN,Mar-04-24,0.4209284484386444
ACN,Mar-03-24,0.8114157915115356
ACN,Mar-01-24,0.0
ACN,Feb-29-24,0.9999901056289673
ACN,Feb-28-24,0.5889726877212524
ACN,Feb-27-24,0.4584144353866577
ACN,Feb-26-24,0.9997172951698303
ACN,Feb-23-24,0.0
